# Generated by: ./scripts/lint.sh compiler --update-baseline
# Gated categories: fallthrough, overloads, overrides, unchecked, varargs
# Stable format: product|path|warning-category|message|context|occurrence
client|Client_Base/src/com/openrsc/client/entityhandling/instances/GroundItem.java|overrides|Class GroundItem overrides equals, but neither it nor any superclass overrides hashCode method|context=public class GroundItem {|occurrence=1
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 2:|occurrence=1
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 2:|occurrence=2
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 3:|occurrence=1
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 3:|occurrence=2
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 4:|occurrence=1
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 4:|occurrence=2
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 5:|occurrence=1
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 5:|occurrence=2
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 6:|occurrence=1
client|Client_Base/src/com/openrsc/interfaces/misc/DoSkillInterface.java|fallthrough|possible fall-through into case|context=case 6:|occurrence=2
client|Client_Base/src/orsc/graphics/two/SpriteArchive/Entry.java|overrides|Class Entry overrides equals, but neither it nor any superclass overrides hashCode method|context=public class Entry {|occurrence=1
client|Client_Base/src/orsc/graphics/two/SpriteArchive/Frame.java|overrides|Class Frame overrides equals, but neither it nor any superclass overrides hashCode method|context=public class Frame {|occurrence=1
server|server/plugins/com/openrsc/server/plugins/authentic/commands/PlayerModerator.java|fallthrough|possible fall-through into case|context=case "goblin":|occurrence=1
server|server/plugins/com/openrsc/server/plugins/authentic/commands/PlayerModerator.java|fallthrough|possible fall-through into case|context=case "skeleton":|occurrence=1
server|server/plugins/com/openrsc/server/plugins/authentic/commands/PlayerModerator.java|fallthrough|possible fall-through into case|context=case "white":|occurrence=1
server|server/plugins/com/openrsc/server/plugins/authentic/commands/PlayerModerator.java|fallthrough|possible fall-through into case|context=case "zombie":|occurrence=1
server|server/plugins/com/openrsc/server/plugins/authentic/quests/free/DemonSlayer.java|fallthrough|possible fall-through into case|context=case 4:|occurrence=1
server|server/plugins/com/openrsc/server/plugins/authentic/quests/free/WitchesPotion.java|fallthrough|possible fall-through into case|context=default:|occurrence=1
server|server/plugins/com/openrsc/server/plugins/custom/minigames/ABoneToPick.java|fallthrough|possible fall-through into case|context=case TALKED_TO_ODDENSTEIN:|occurrence=1
server|server/plugins/com/openrsc/server/plugins/custom/misc/Present.java|fallthrough|possible fall-through into case|context=case SWAMP_TOAD:|occurrence=1
server|server/plugins/com/openrsc/server/plugins/custom/misc/Superchisel.java|fallthrough|possible fall-through into case|context=case 1:|occurrence=1
server|server/plugins/com/openrsc/server/plugins/custom/misc/Superchisel.java|fallthrough|possible fall-through into case|context=case 4:|occurrence=1
server|server/plugins/com/openrsc/server/plugins/custom/myworld/quests/free/PeelingTheOnion.java|fallthrough|possible fall-through into case|context=default:|occurrence=1
server|server/src/com/openrsc/server/avatargenerator/AvatarFormat.java|overrides|Class Entry overrides equals, but neither it nor any superclass overrides hashCode method|context=public static class Entry {|occurrence=1
server|server/src/com/openrsc/server/avatargenerator/AvatarFormat.java|overrides|Class Frame overrides equals, but neither it nor any superclass overrides hashCode method|context=public static class Frame {|occurrence=1
server|server/src/com/openrsc/server/database/JDBCDatabase.java|overloads|withPreparedStatement(String,CheckedConsumer<Exception,PreparedStatement>) in JDBCDatabase is potentially ambiguous with <T>withPreparedStatement(String,CheckedFunction<Exception,PreparedStatement,T>) in JDBCDatabase|context=public void withPreparedStatement(|occurrence=1
server|server/src/com/openrsc/server/database/queries/NamedParameterQuery.java|varargs|Varargs method could cause heap pollution from non-reifiable varargs parameter pairs|context=Arrays.stream(pairs).collect(Collectors.toMap(Pair::getKey, Pair::getValue))|occurrence=1
server|server/src/com/openrsc/server/event/rsc/impl/ObjectRemover.java|overrides|Class ObjectRemover overrides equals, but neither it nor any superclass overrides hashCode method|context=public class ObjectRemover extends GameTickEvent {|occurrence=1
server|server/src/com/openrsc/server/event/rsc/impl/projectile/MagicCombatEvent.java|overrides|Class MagicCombatEvent overrides equals, but neither it nor any superclass overrides hashCode method|context=public class MagicCombatEvent extends GameTickEvent {|occurrence=1
server|server/src/com/openrsc/server/event/rsc/impl/projectile/RangeEvent.java|overrides|Class RangeEvent overrides equals, but neither it nor any superclass overrides hashCode method|context=public class RangeEvent extends GameTickEvent {|occurrence=1
server|server/src/com/openrsc/server/event/rsc/impl/projectile/RangeEventNpc.java|overrides|Class RangeEventNpc overrides equals, but neither it nor any superclass overrides hashCode method|context=public class RangeEventNpc extends GameTickEvent {|occurrence=1
server|server/src/com/openrsc/server/event/rsc/impl/projectile/RangeUtils.java|varargs|Varargs method could cause heap pollution from non-reifiable varargs parameter sets|context=return Stream.of(sets)|occurrence=1
server|server/src/com/openrsc/server/event/rsc/impl/projectile/ThrowingEvent.java|overrides|Class ThrowingEvent overrides equals, but neither it nor any superclass overrides hashCode method|context=public class ThrowingEvent extends GameTickEvent {|occurrence=1
server|server/src/com/openrsc/server/model/PathValidation.java|fallthrough|possible fall-through into case|context=default:|occurrence=1
server|server/src/com/openrsc/server/model/Point.java|fallthrough|possible fall-through into case|context=case 5:|occurrence=1
server|server/src/com/openrsc/server/model/container/Item.java|overrides|Class Item overrides equals, but neither it nor any superclass overrides hashCode method|context=public class Item implements Comparable<Item> {|occurrence=1
server|server/src/com/openrsc/server/model/entity/GameObject.java|overrides|Class GameObject overrides equals, but neither it nor any superclass overrides hashCode method|context=public class GameObject extends Entity {|occurrence=1
server|server/src/com/openrsc/server/model/entity/npc/Npc.java|fallthrough|possible fall-through into case|context=case NPC_USE_ITEM:|occurrence=1
server|server/src/com/openrsc/server/model/entity/npc/Npc.java|fallthrough|possible fall-through into case|context=default:|occurrence=1
server|server/src/com/openrsc/server/model/entity/player/Player.java|overrides|Class Player overrides equals, but neither it nor any superclass overrides hashCode method|context=public final class Player extends Mob {|occurrence=1
server|server/src/com/openrsc/server/model/entity/player/ScriptContext.java|fallthrough|possible fall-through into case|context=case NONE:|occurrence=1
server|server/src/com/openrsc/server/model/entity/player/ScriptContext.java|fallthrough|possible fall-through into case|context=default:|occurrence=1
server|server/src/com/openrsc/server/net/DiscordService.java|unchecked|unchecked cast|context=final ArrayList<MarketItem> auctionList = (ArrayList<MarketItem>)this.server.getWorld().getMarket().getAuctionItems().clone();|occurrence=1
server|server/src/com/openrsc/server/net/rsc/PayloadProcessorManager.java|unchecked|unchecked cast|context=PayloadProcessor<? extends AbstractStruct<OpcodeIn>, OpcodeIn> payloadProcessor = (PayloadProcessor<? extends AbstractStruct<OpcodeIn>, OpcodeIn>) clazzObject;|occurrence=1
server|server/src/com/openrsc/server/net/rsc/handlers/SpellHandler.java|fallthrough|possible fall-through into case|context=case SARADOMIN_STRIKE:|occurrence=1
