# Generated by: ./scripts/lint.sh analyze --update-baseline
# Scope: selected medium/high confidence correctness findings from exact Ant-built product jars
# Stable format: product|bug-type|priority|class|member|occurrence
client|AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE|2|orsc.RendererRemasterLightSettings|adjustAzimuth(F)F|occurrence=1
client|AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE|2|orsc.RendererRemasterLightSettings|adjustElevation(F)F|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|applyConfiguredRenderSurfaceSize()V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|applyConfiguredRenderSurfaceSize()V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|bindDirectFramebuffer(II)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|bindDirectFramebuffer(II)V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|drawLoadingScreen(Ljava/awt/Graphics;Ljava/lang/String;II)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|drawLoadingScreen(Ljava/lang/String;II)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|resized()V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|resized()V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ORSCApplet|showLoadingProgress(ILjava/lang/String;)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow$ScaledViewport|recreateGpuPresentationImage(II)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow$ScaledViewport|recreateGpuPresentationImage(II)V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|componentResized(Ljava/awt/event/ComponentEvent;)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|componentResized(Ljava/awt/event/ComponentEvent;)V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|setGameImage(Ljava/awt/image/BufferedImage;Lorsc/graphics/Renderer2DFrame;Ljava/awt/image/BufferedImage;Lorsc/graphics/three/Renderer3DFrame;[Ljava/lang/String;)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|setGameImage(Ljava/awt/image/BufferedImage;Lorsc/graphics/Renderer2DFrame;Ljava/awt/image/BufferedImage;Lorsc/graphics/three/Renderer3DFrame;[Ljava/lang/String;)V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|setSize(II)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|setSize(II)V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.ScaledWindow|setWindowRealignmentIntent(Z)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.graphics.three.World|setWorldMapPoint(II)V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.graphics.three.World|setWorldMapPoint(II)V|occurrence=2
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.net.Network_Socket|close()V|occurrence=1
client|AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|orsc.net.Network_Socket|close()V|occurrence=2
client|BIT_AND|1|orsc.MiscFunctions|<clinit>()V|occurrence=1
client|DE_MIGHT_IGNORE|2|orsc.ORSCApplet|showLoadingProgress(ILjava/lang/String;)V|occurrence=1
client|DE_MIGHT_IGNORE|2|orsc.ScaledWindow|runInit()V|occurrence=1
client|GC_UNRELATED_TYPES|1|com.openrsc.interfaces.misc.CustomBankInterface|sendDeposit(IZ)V|occurrence=1
client|HE_EQUALS_USE_HASHCODE|1|com.openrsc.client.entityhandling.instances.GroundItem|equals(Ljava/lang/Object;)Z|occurrence=1
client|HE_EQUALS_USE_HASHCODE|1|orsc.graphics.two.SpriteArchive.Entry|equals(Ljava/lang/Object;)Z|occurrence=1
client|HE_EQUALS_USE_HASHCODE|1|orsc.graphics.two.SpriteArchive.Frame|equals(Ljava/lang/Object;)Z|occurrence=1
client|INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE|2|orsc.graphics.two.GraphicsController|drawWrappedCenteredString(Ljava/lang/String;IIIIIZZ)V|occurrence=1
client|INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE|2|orsc.graphics.two.GraphicsController|stringWidth(ILjava/lang/String;)I|occurrence=1
client|IS2_INCONSISTENT_SYNC|2|orsc.net.Network_Socket|writeBufRead|occurrence=1
client|IS2_INCONSISTENT_SYNC|2|orsc.net.Network_Socket|writeBufWrite|occurrence=1
client|LI_LAZY_INIT_STATIC|2|orsc.util.Utils|getServerTime()Ljava/lang/String;|occurrence=1
client|LI_LAZY_INIT_STATIC|2|orsc.util.bzip.BZLib|decompress(Lorsc/util/bzip/BZState;)V|occurrence=1
client|NN_NAKED_NOTIFY|2|orsc.net.Network_Socket|close()V|occurrence=1
client|NP_ALWAYS_NULL|1|orsc.util.Utils|getFont(Ljava/lang/String;IF)Ljava/awt/Font;|occurrence=1
client|NP_ALWAYS_NULL|2|orsc.graphics.two.GraphicsController|a(Lcom/openrsc/client/model/Sprite;IIII)V|occurrence=1
client|OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE|2|orsc.util.GenUtil|createChecksum(Ljava/lang/String;)[B|occurrence=1
